temp	time
62.40	00:00:09
62.43	00:00:19
62.43	00:00:29
62.40	00:00:39
62.41	00:00:49
62.40	00:00:59
62.43	00:01:09
62.41	00:01:19
62.41	00:01:29
62.40	00:01:39
62.41	00:01:49
62.38	00:01:59
62.43	00:02:09
62.39	00:02:20
62.41	00:02:30
62.41	00:02:40
62.41	00:02:50
62.39	00:03:00
62.40	00:03:10
62.41	00:03:20
62.41	00:03:30
62.41	00:03:40
62.42	00:03:50
62.43	00:04:00
62.39	00:04:10
62.40	00:04:20
62.39	00:04:31
62.42	00:04:41
62.41	00:04:51
62.40	00:05:01
62.41	00:05:11
62.42	00:05:21
62.42	00:05:31
62.41	00:05:41
62.40	00:05:51
62.41	00:06:01
62.40	00:06:11
62.40	00:06:21
62.42	00:06:31
62.42	00:06:41
62.41	00:06:52
62.39	00:07:02
62.41	00:07:12
62.40	00:07:22
62.39	00:07:32
62.40	00:07:42
62.40	00:07:52
62.38	00:08:02
62.40	00:08:12
62.41	00:08:22
62.40	00:08:32
62.41	00:08:42
62.40	00:08:52
62.40	00:09:03
62.37	00:09:13
62.41	00:09:23
62.40	00:09:33
62.40	00:09:43
62.40	00:09:53
62.40	00:10:03
62.40	00:10:13
62.40	00:10:23
62.38	00:10:33
62.40	00:10:43
62.42	00:10:53
62.40	00:11:03
62.36	00:11:13
62.37	00:11:24
62.41	00:11:34
62.38	00:11:44
62.40	00:11:54
62.39	00:12:04
62.38	00:12:14
62.37	00:12:24
62.36	00:12:34
62.38	00:12:44
62.39	00:12:54
62.39	00:13:04
62.39	00:13:14
62.38	00:13:24
62.40	00:13:34
62.39	00:13:45
62.37	00:13:55
62.38	00:14:05
62.40	00:14:15
62.37	00:14:25
62.40	00:14:35
62.37	00:14:45
62.37	00:14:55
62.38	00:15:05
62.38	00:15:15
62.39	00:15:25
62.37	00:15:35
62.38	00:15:45
62.36	00:15:56
62.39	00:16:06
62.37	00:16:16
62.40	00:16:26
62.34	00:16:36
62.37	00:16:46
62.37	00:16:56
62.35	00:17:06
62.37	00:17:16
62.37	00:17:26
62.36	00:17:36
62.36	00:17:46
62.37	00:17:56
62.36	00:18:06
62.37	00:18:17
62.39	00:18:27
62.36	00:18:37
62.34	00:18:47
62.35	00:18:57
62.34	00:19:07
62.34	00:19:17
62.34	00:19:27
62.37	00:19:37
62.37	00:19:47
62.35	00:19:57
62.32	00:20:07
62.35	00:20:17
62.33	00:20:28
62.38	00:20:38
62.36	00:20:48
62.31	00:20:58
62.30	00:21:08
62.37	00:21:18
62.37	00:21:28
62.34	00:21:38
62.36	00:21:48
62.33	00:21:58
62.37	00:22:08
62.32	00:22:18
62.35	00:22:28
62.33	00:22:38
62.37	00:22:49
62.37	00:22:59
62.34	00:23:09
62.34	00:23:19
62.33	00:23:29
62.34	00:23:39
62.36	00:23:49
62.36	00:23:59
62.32	00:24:09
62.33	00:24:19
62.28	00:24:29
62.30	00:24:39
62.31	00:24:49
62.32	00:25:00
62.32	00:25:10
62.31	00:25:20
62.30	00:25:30
62.30	00:25:40
62.35	00:25:50
62.26	00:26:00
62.33	00:26:10
62.29	00:26:20
62.30	00:26:30
62.26	00:26:40
62.30	00:26:50
62.34	00:27:00
62.26	00:27:10
62.23	00:27:21
62.26	00:27:31
62.30	00:27:41
62.33	00:27:51
62.26	00:28:01
62.24	00:28:11
62.28	00:28:21
62.24	00:28:31
62.30	00:28:41
62.28	00:28:51
62.25	00:29:01
62.29	00:29:11
62.26	00:29:21
62.28	00:29:31
62.25	00:29:42
62.28	00:29:52
62.26	00:30:02
62.29	00:30:12
